"Datum";"Cas";"Cena_Spot";"Tarif";"Cena_Konecna"
"2026-07-04";"00:00";"137.67";"NT";"3.03"
"2026-07-04";"01:00";"130.96";"NT";"3.03"
"2026-07-04";"02:00";"121.9";"NT";"3.03"
"2026-07-04";"03:00";"121.36";"NT";"3.03"
"2026-07-04";"04:00";"111.75";"NT";"3.03"
"2026-07-04";"05:00";"106.13";"VT";"5.62"
"2026-07-04";"06:00";"108.17";"VT";"5.62"
"2026-07-04";"07:00";"106.71";"VT";"5.62"
"2026-07-04";"08:00";"64.37";"VT";"5.62"
"2026-07-04";"09:00";"4.08";"VT";"5.62"
"2026-07-04";"10:00";"0";"VT";"5.62"
"2026-07-04";"11:00";"-0.04";"VT";"5.62"
"2026-07-04";"12:00";"-0.55";"VT";"5.62"
"2026-07-04";"13:00";"-2.22";"VT";"5.62"
"2026-07-04";"14:00";"-4.9";"VT";"5.62"
"2026-07-04";"15:00";"-2.23";"VT";"5.62"
"2026-07-04";"16:00";"-0.36";"VT";"5.62"
"2026-07-04";"17:00";"0.54";"VT";"5.62"
"2026-07-04";"18:00";"23.56";"NT";"3.03"
"2026-07-04";"19:00";"80.26";"NT";"3.03"
"2026-07-04";"20:00";"120.51";"VT";"5.62"
"2026-07-04";"21:00";"135.69";"VT";"5.62"
"2026-07-04";"22:00";"125.14";"VT";"5.62"
"2026-07-04";"23:00";"115.49";"NT";"3.03"
"2026-07-05";"00:00";"134.33";"NT";"3.03"
"2026-07-05";"01:00";"133.98";"NT";"3.03"
"2026-07-05";"02:00";"120.36";"NT";"3.03"
"2026-07-05";"03:00";"109.9";"NT";"3.03"
"2026-07-05";"04:00";"108.13";"NT";"3.03"
"2026-07-05";"05:00";"110.01";"VT";"5.62"
"2026-07-05";"06:00";"112.6";"VT";"5.62"
"2026-07-05";"07:00";"72.33";"VT";"5.62"
"2026-07-05";"08:00";"26.04";"VT";"5.62"
"2026-07-05";"09:00";"3.61";"VT";"5.62"
"2026-07-05";"10:00";"0";"VT";"5.62"
"2026-07-05";"11:00";"-0.01";"VT";"5.62"
"2026-07-05";"12:00";"-0.06";"VT";"5.62"
"2026-07-05";"13:00";"-0.13";"VT";"5.62"
"2026-07-05";"14:00";"-1.03";"VT";"5.62"
"2026-07-05";"15:00";"-0.8";"VT";"5.62"
"2026-07-05";"16:00";"-0.08";"VT";"5.62"
"2026-07-05";"17:00";"0.01";"VT";"5.62"
"2026-07-05";"18:00";"28.88";"NT";"3.03"
"2026-07-05";"19:00";"82.6";"NT";"3.03"
"2026-07-05";"20:00";"114.71";"VT";"5.62"
"2026-07-05";"21:00";"130.27";"VT";"5.62"
"2026-07-05";"22:00";"144.49";"VT";"5.62"
"2026-07-05";"23:00";"137.39";"NT";"3.03"
